std_smiles,expt_test,database
COC(=O)C(F)(F)C(F)(F)C(F)F,0,emolecules
O=C(OCC(F)(F)C(F)F)C(F)(F)F,0,emolecules
O=S(=O)(F)C(F)C(F)(F)F,0,emolecules
CC(F)(F)C(=O)OC(=O)C(C)(F)F,0,emolecules
O=S(=O)(Cl)C(F)(F)C(F)F,0,emolecules
FC(F)(Cl)C(F)(F)C1(F)OC1(F)F,0,emolecules
FC1(F)C(F)(F)C1(F)F,0,emolecules
O=C1CC(C(F)C(F)(F)F)CC(=O)O1,0,emolecules
COC(F)(F)C(F)(F)C(=O)F,0,emolecules
O=C(OCCCl)C(F)(F)F,0,emolecules
O=CC(F)(F)F,0,emolecules
CCOC(=O)C(F)C(F)(F)F,0,emolecules
CCCS(=O)(=O)F,0,emolecules
N#CC1(CC(F)(F)F)CC1,0,emolecules
CCOC(=O)C[N+](=O)[O-],0,emolecules
FC(F)C(F)OC(F)(F)F,0,emolecules
CS(=O)(=O)C(C#N)C=O,0,emolecules
[SiH3]CC(Cl)Cl,0,emolecules
CC(C)(C#N)CC=O,0,emolecules
FC(F)C(Cl)Cl,0,emolecules
N#CCCCCCl,0,emolecules
COC(=O)C(F)(C(F)(F)F)C(F)(F)F,0,emolecules
N#CCC1CC1C(F)F,0,emolecules
CCOC(C)C#N,0,emolecules
FCOCF,1,emolecules
FC1(F)CCC1(F)Cl,0,emolecules
CCC(C#N)S(C)(=O)=O,0,emolecules
CC1CC(C)C(=O)OC1=O,0,emolecules
FC(Cl)C(Cl)Cl,0,emolecules
COC(F)(C(F)(F)F)C(F)(F)F,0,emolecules
CCOS(=O)(=O)C(F)(F)F,0,emolecules
CC(C)CS(=O)(=O)F,0,emolecules
CC(C)(CCl)CC#N,0,emolecules
O=C1OC(F)(C(F)(F)F)C(F)(F)OC1(F)C(F)(F)F,0,emolecules
O=C(Cl)CCF,0,emolecules
O=S(=O)(Cl)CC(F)F,0,emolecules
O=C(OCC(F)F)C(F)F,0,emolecules
CC(=O)OC(Cl)C(F)(F)F,0,emolecules
COC(=O)C(C)C,0,emolecules
CC(Cl)(Cl)C(=O)Cl,0,emolecules
O=S(=O)(Cl)CCC(F)F,0,emolecules
FC(F)(F)CC(Cl)(Cl)Cl,0,emolecules
CC(C)(F)C(=O)Cl,0,emolecules
CC(C)(C#N)CCS(=O)(=O)F,0,emolecules
N#CC1CCC(F)(F)C1,0,emolecules
CC(C(=O)Cl)C(=O)Cl,0,emolecules
FC(F)(F)CC[SiH](Cl)Cl,0,emolecules
COC(=O)C(Cl)(C(F)(F)F)C(F)(F)F,0,emolecules
FC(F)C(F)(F)CCl,0,emolecules
FC(F)OC(Cl)(Cl)C(F)(F)F,0,emolecules
O=C(Cl)CCCl,0,emolecules
CC(C)OC=O,0,emolecules
N#CCCOC(F)(F)C(F)(F)F,0,emolecules
O=C(OCC(F)(F)C(F)F)C(F)F,0,emolecules
CC(C)(C#N)CCC(F)(F)F,0,emolecules
N#CC1CCCO1,0,emolecules
N#CC1(C(F)(F)C(F)F)CCC1,0,emolecules
CC(C)(Cl)Cl,0,emolecules
FC(F)(F)CC(Cl)C(F)(F)F,0,emolecules
O=S(=O)(F)CCS(=O)(=O)F,0,emolecules
CC(C)(Cl)CCC#N,0,emolecules
N#CC1CCCC1(F)F,0,emolecules
CC(Cl)CC(=O)Cl,0,emolecules
CC(F)(F)C(C)(C)CC#N,0,emolecules
FC(F)(F)OC(F)(Cl)C(F)(F)Cl,0,emolecules
CCCCC(F)(F)F,0,emolecules
CCC1(C)OC1C#N,0,emolecules
CCOS(C)(=O)=O,0,emolecules
FC(F)OCC(F)(F)F,0,emolecules
O=S(=O)(F)CCCl,0,emolecules
CC1(C(=O)Cl)CC1(F)F,0,emolecules
ClCCC(Cl)Cl,0,emolecules
O=C(Cl)C(F)(F)C(F)(F)C(=O)Cl,0,emolecules
COP(C)(=O)Cl,0,emolecules
CC(F)CCC(F)F,0,emolecules
CC(C)C(C)(C)CC#N,0,emolecules
CC(F)(Cl)CCl,0,emolecules
COP(=O)(Cl)Cl,0,emolecules
CN(C(=O)C(F)(F)F)C(=O)C(F)(F)F,0,emolecules
CCC(C#N)(CC)CC,0,emolecules
FC(F)(Cl)C(F)(F)C(Cl)(Cl)Cl,0,emolecules
FC(F)(Cl)OC(Cl)(Cl)C(F)(F)F,0,emolecules
FC(Cl)(Cl)CCCl,0,emolecules
N#CCC1(F)CC1,0,emolecules
O=S(=O)(Cl)CC(F)(F)C(F)(F)F,0,emolecules
CCOC(=O)C1C(=O)COC1=O,0,emolecules
CCOC(F)(F)F,0,emolecules
CCC1(CC)OC1C#N,0,emolecules
FC(F)(F)C1(C(F)(F)F)CO1,0,emolecules
CC1(C(Cl)(Cl)Cl)CC(=O)O1,0,emolecules
COC(=O)CC(F)(F)F,0,emolecules
FC(F)(F)C(Cl)C(Cl)Cl,0,emolecules
CCC(Cl)(Cl)Cl,0,emolecules
COC(Cl)Cl,0,emolecules
COC(=O)CC(F)(F)C(F)(F)F,0,emolecules
CCC1(CC)CC(=O)OC1=O,0,emolecules
N#CC1CCC1C#N,0,emolecules
CC(C)C(C)(C)C#N,0,emolecules
CC1(C)CC(C(F)(F)F)C(=O)O1,0,emolecules
CC(C)OC(=O)C(F)(F)F,0,emolecules
CC(F)(F)CC(C)(F)F,0,emolecules
CC(Cl)S(=O)(=O)F,0,emolecules
COC(F)(F)C(F)F,0,emolecules
O=C(Cl)C1(C(F)(F)F)CC1,0,emolecules
FC(F)(Cl)OC(Cl)C(F)(F)F,0,emolecules
CCOC(=O)C(F)(Cl)C(F)(F)F,0,emolecules
O=S(=O)(F)CCC(F)(F)F,0,emolecules
FC(F)COC(F)(F)F,0,emolecules
CC1(C#N)CC(F)(F)C1,0,emolecules
CCOC(=O)C(C)(F)F,0,emolecules
CC(F)(F)CS(=O)(=O)Cl,0,emolecules
CC(C)(C(=O)Cl)C(F)F,0,emolecules
CCCC(=O)Cl,0,emolecules
O=S(=O)(F)CC(F)(F)F,0,emolecules
O=C1CCC(CC(F)(F)F)O1,0,emolecules
CC(C)C(=O)Cl,0,emolecules
ClCC(Cl)Cl,0,emolecules
O=C(Cl)C1OC1C(=O)Cl,0,emolecules
CC(Cl)CCC(F)F,0,emolecules
O=C(Cl)CC(=O)Cl,0,emolecules
CC(C)(F)S(=O)(=O)Cl,0,emolecules
CC(C)C(=O)O[SiH3],0,emolecules
CC(CC(F)(F)F)C(=O)Cl,0,emolecules
N#CC1COCC1=O,0,emolecules
N#CCOCC(F)(F)C(F)F,0,emolecules
CC(C)C(=O)OCCl,0,emolecules
CCOC(C#N)CC,0,emolecules
